name,imdb_name,imdb_rate,imdb_ppl,storyline
Winter's Bone, Winter's Bone (2010) ,7.2,140K,"Her family home in danger of being repossessed after her dad skips bail and disappears, Ozark teen Ree Dolly (Jennifer Lawrence) breaks the local code of conduct by confronting her kin about their conspiracy of silence. Should she fail to track her father down, Ree Dolly, her younger siblings, and their disabled mother will soon be rendered homeless."
Moon, Moon (2009) ,7.8,348K,"Sam Bell has a three year contract to work for Lunar Industries. For the contract's entire duration, he is the sole employee based at their lunar station. His primary job responsibility is to harvest and periodically rocket back to Earth supplies of helium-3, the current clean and abundant fuel used on Earth. There is no direct communication link available between the lunar station and Earth, so his only direct real-time interaction is with GERTY, the intelligent computer whose function is to attend to his day to day needs. With such little human contact and all of it indirect, he feels that three years is far too long to be so isolated; he knows he is beginning to hallucinate as the end of his three years approaches. All he wants is to return to Earth to be with his wife Tess and their infant daughter Eve, who was born just prior to his leaving for this job. With two weeks to go, he gets into an accident at one of the mechanical harvesters and is rendered unconscious. Injured, he awakens back at the station in the infirmary, he assumes assisted by GERTY. GERTY tells him that a rescue team named Eliza will come to the station to clean up the aftermath of the accident. After his recuperation, he takes an unauthorized trip back to the broken harvester, where he makes an unexpected discovery. Because of his find, he begins to doubt his sanity, then his true identity, then the company and GERTY's willingness to do what is best for him. Because of his resulting beliefs, his sole mission becomes how to get back to Earth on his own. —Huggo"
The Taste of Others, The Taste of Others (2000) ,7.2,9.6K,"Three men, three women, opposites, possibilities, and tastes. Castella owns a industrial steel barrel plant in Rouen; Bruno is his flute-playing driver, Franck is his temporary bodyguard while he negotiates a contract with Iranians, his wife Angélique does frou-frou interior decorating and loves her dog. The conventional Castella hires a forty-year-old actress, Clara, to tutor him in English, and he finds her and her Bohemian lifestyle fascinating. Is this love? What would she say if he declared himself? Through Bruno, Franck meets Manie, a barmaid who deals hash. They begin an affair. Are they in love? They joke about marriage. As the women hold back, the men must make decisions. —<jhailey@hotmail.com>"
The Assassination of Jesse James by the Coward Robert Ford, The Assassination of Jesse James by the Coward Robert Ford (2007) ,7.5,176K,"Taking place in Missouri in the early 1880s, the film dramatizes the last seven months in the life of famed outlaw Jesse James, beginning with the Blue Cut train robbery of 1881 and culminating in his assassination at the hands of Robert Ford the following April. In the time between these two fateful events, the young and jealous Ford befriends the increasingly mistrustful outlaw, even as he plots his demise. —Cole Matthews"
The Lord of the Rings: The Fellowship of the Ring, The Lord of the Rings: The Fellowship of the Ring (2001) ,8.8,1.8M,"An ancient Ring thought lost for centuries has been found, and through a strange twist of fate has been given to a small Hobbit named Frodo. When Gandalf discovers the Ring is in fact the One Ring of the Dark Lord Sauron, Frodo must make an epic quest to the Cracks of Doom in order to destroy it. However, he does not go alone. He is joined by Gandalf, Legolas the elf, Gimli the Dwarf, Aragorn, Boromir, and his three Hobbit friends Merry, Pippin, and Samwise. Through mountains, snow, darkness, forests, rivers and plains, facing evil and danger at every corner the Fellowship of the Ring must go. Their quest to destroy the One Ring is the only hope for the end of the Dark Lords reign. —Paul Twomey <toomsp@hotmail.com>"
Making Of, Making Of (2006) ,6.8,160,"The making of a martyr, the making of a man, and the making of a film. Bahta is 25, Tunisian, a hothead who excels at break-dancing. When he thinks a woman he likes may be seeing another man, his injured pride mixes with his Arab anger at Western insults to Islam, so he gets in trouble with the cops. For sanctuary, two men take him to the home of an older man, a teacher who is a tombstone calligrapher. The teacher slowly brings Bahta to understand the promise of martyrdom, playing on his desire for manhood. Occasionally, the actor playing Bahta breaks out of his role to complain to the director, who must coax him back. Is Bahta on his way to manhood, suicide, martyrdom, and murder? —<jhailey@hotmail.com>"
House of Flying Daggers, House of Flying Daggers (2004) ,7.5,110K,"During the reign of the Tang dynasty in China, a secret organization called ""The House of the Flying Daggers"" rises and opposes the government. A police officer called Leo sends officer Jin to investigate a young dancer named Mei, claiming that she has ties to the ""Flying Daggers"". Leo arrests Mei, only to have Jin breaking her free in a plot to gain her trust and lead the police to the new leader of the secret organization. But things are far more complicated than they seem... —Chris Makrozahopoulos <makzax@hotmail.com>"
Miners Shot Down, Miners Shot Down (2014) ,8.0,80,"In August 2012, mineworkers in one of South Africa's biggest platinum mines began a wildcat strike for better wages. Six days into the strike, the police used live ammunition to brutally suppress it, killing 34 and injuring many more. The police insisted that they shot in self-defense. MINERS SHOT DOWN tells a different story, one that unfolds in real time over seven days, like a ticking time bomb. The film weaves together the central point of view of three strike leaders, Mambush, Tholakele and Mzoxolo, with compelling police footage, TV archive and interviews with lawyers representing the miners in the ensuing commission of inquiry into the massacre. What emerges is a tragedy that arises out of the deep fault lines in South Africa's nascent democracy, of enduring poverty and a twenty year old, unfulfilled promise of a better life for all. A campaigning film, beautifully shot and sensitively told with a haunting soundtrack, MINERS SHOT DOWN reveals how far the African National Congress has strayed from its progressive liberationist roots."
678, Cairo 678 (2010) ,7.5,4.3K,"In the bustling streets of Cairo, overflowed with people hurrying to their work, life advances in hectic rhythms. Traffic congestion, noise and buses crammed with men and women--this is usual for a big city on its way to progress. But, underneath this cloak of normality, a particular type of crime thrives in the small-scale world of public transportation--so subtle and elusive to the untrained eye--that seems, practically, nonexistent. Women of all ages, regardless of their attire, are sexually objectified and abused on a daily basis, silently tolerating the perverted needs of male passengers. Under those circumstances, how can a woman defend herself from their assaults; shield herself against the anguish and the shame of the repeated harassment, when a nation's male population remains untouched by this obscenity? —Nick Riganas"
Hijack Stories, Hijack Stories (2000) ,6.5,220,A young Soweto actor joins a gang to study up and be more convincing in a gangster role he wants.
Spotlight, Spotlight (I) (2015) ,8.1,448K,"When the Boston Globe's tenacious ""Spotlight"" team of reporters delves into allegations of abuse in the Catholic Church, their year-long investigation uncovers a decades-long cover-up at the highest levels of Boston's religious, legal, and government establishment, touching off a wave of revelations around the world. —Open Road"
The Gatekeepers, The Gatekeepers (2012) ,7.6,5.6K,"A documentary featuring interviews with all surviving former heads of Shin Bet, the Israeli security agency whose activities and membership are closely held state secrets."
Sexy Beast, Sexy Beast (2000) ,7.3,59K,"Gal, Deedee, Aitch and Jackie, having left behind respective lives of ill-repute, bask in the sun of Spain and in the most essential brand of leisure. A hazy yarn of barbecues, beer and botched hunting expeditions make up their retirements, until a sudden and unforeseen disruption emerges from their past. Enter the childishly violent and hilariously edgy Don Logan. Through a series of side-splitting negotiations and irrevocable acts, retired crook Gal is forced to shake off the rust and accept one last mission, put forth by the menacing Logan, his ex-mentor. A heist of legendary proportion and personal implications, this job should make for one hell of an encore. —gjtackach@gmail.com"
Anchorman: The Legend of Ron Burgundy, Anchorman: The Legend of Ron Burgundy (2004) ,7.2,343K,"In 1970s San Diego, journalism was a well respected profession and people actually cared about what they saw on TV. And the top rated anchor man in the city is Ron Burgundy. He enjoys his run at the top, and has for the last five years. And his news team is equally as good as he is. Professional jock and former professional baseball player Champ Kind handles the sports, the curiously dim witted Brick Tamland - who's a few channels short of a cable subscription - handles the weather, and ladies' man Brian Fantana - whose collection of fine scents would be in the Guinness Book Of Records - handles the on-field reporting. But now all that is about to change forever. The TV station Burgundy works for, Channel 4, has embraced diversity and has hired a beautiful new female anchor named Veronica Corningstone. While Ron Burgundy and the rest of the Channel 4 news team enjoys fighting with competitors, drinking, and flirting with the ladies, Veronica quietly climbs her way to the top. And Veronica's success drives Ron Burgundy crazy. So much that Veronica's meddling causes Ron to get demoted and ultimately lose his job with Channel 6. Now left with nothing, Ron must find a way to get back to the top - and that involves a story about a rare Chinese panda giving birth on US soil. Will Ron be the one to report the story on a national level? —halo1k"
Los Angeles Plays Itself, Los Angeles Plays Itself (2003) ,7.9,2.3K,"Of the cities in the world, few are depicted in and mythologized more in film and television than the city of Los Angeles. In this documentary, Thom Andersen examines in detail the ways the city has been depicted, both when it is meant to be anonymous and when itself is the focus. Along the way, he illustrates his concerns of how the real city and its people are misrepresented and distorted through the prism of popular film culture. Furthermore, he also chronicles the real stories of the city's modern history behind the notorious accounts of the great conspiracies that ravaged his city that reveal a more open and yet darker past than the casual viewer would suspect. —Kenneth Chisholm (kchishol@rogers.com)"
Crank, Crank (2006) ,6.9,243K,"Poisoned by the potent and deadly mix of synthetic drugs called ""The Beijing Cocktail"" for getting in the way of the Triads, the tough-as-nails British hitman living in Los Angeles, Chev Chelios, wakes up with a terrible headache. With less than an hour to live, Chev will have to use all the help he can get from his doctor, and use every trick in the book, to consistently keep his heart rate up so that the adrenaline in his bloodstream staves off the effects of the deadly toxin. Now, his heart is pounding faster than any other human being, and as Chelios darts across the city's streets in search of an antidote and the arrogant criminal, Ricky Verona, to exact his revenge, he finds himself compelled to pick fights with no-nonsense drug dealers, murderous assassins, and an army of thugs. But, can Chelios stay alive long enough to protect those he loves, and make it through the day? —Nick Riganas"
The Forest for the Trees," Toni Erdmann (2016) aka ""The Forest for the Trees"" ",7.4,47K,"Winfried doesn't see much of his working daughter Ines. He pays her a surprise visit in Bucharest, where she's busy as a corporate strategist. The geographical change doesn't help them to see more eye to eye. Practical joker Winfried annoys his daughter with corny pranks and jabs at her routine lifestyle of meetings and paperwork. Father and daughter reach an impasse, and Winfried agrees to go home to Germany. Enter Toni Erdmann: Winfried's flashy alter ego. Disguised in a tacky suit, weird wig and fake teeth, Toni barges into Ines' work circle, claiming to be her CEO's life coach. As Toni, Winfried doesn't hold back, and Ines meets the challenge. The harder they push, the closer they become. In all the madness, Ines begins to see that her eccentric father deserves a place in her life. —Official site"
Miami Vice, Miami Vice (1984) (TV Series) ,7.5,25K,Stubble-faced detective Crockett lived in a sailboat guarded by his alligator Elvis. His partner Tubbs was a black New York cop looking for his brother's killer. Together they took on the Florida drug world. The show influenced men's fashions toward Italo-casual and interior decor toward the Miami look. Very trendy music and unusual guest performers. —Ed Stephan <stephan@cc.wwu.edu>
Woman on the Beach, Woman on the Beach (2006) ,6.9,1.2K,A movie director entices his young friend to come to the beach on the pretext of writing a script. He then starts an affair with the friend's girlfriend.
Nostalgia for the Light, Nostalgia for the Light (2010) ,7.6,5.4K,"In Chile's Atacama Desert, astronomers peer deep into the cosmos in search for answers concerning the origins of life. Nearby, a group of women sift through the sand searching for body parts of loved ones, dumped unceremoniously by Pinochet's regime. —Anonymous"
Lifeline, Lifeline (2017) (TV Series) ,6.2,802,"What if you could use time travel to save your life? Welcome to ""LIFELINE,"" the new YouTube Red Original Series about the Lifeline insurance agency, whose specially trained agents jump forward in time to prevent the deaths of their clients. —Studio71"
Kung Fu Hustle, Kung Fu Hustle (2004) ,7.7,134K,"Set in Canton, China in the 1940s, the story revolves in a town ruled by the Axe Gang, Sing who desperately wants to become a member. He stumbles into a slum ruled by eccentric landlords who turns out to be the greatest kung-fu masters in disguise. Sing's actions eventually cause the Axe Gang and the slumlords to engage in an explosive kung-fu battle. Only one side will win and only one hero will emerge as the greatest kung-fu master of all. —Anthony Pereyra {hypersonic91@yahoo.com}"
Instructions for a Light and Sound Machine, Instructions for a Light and Sound Machine (2005) (Short) ,6.7,503,"The hero of Instructions for a Light and Sound Machine is easy to identify. Walking down the street unknowingly, he suddenly realizes that he is not only subject to the gruesome moods of several spectators but also at the mercy of the filmmaker. —Bernardo van Olst"
Un lac, Un lac (2008) ,6.6,747,"The story takes place in a country about which we know nothing: a country of snow and dense forests somewhere in the North. A family lives in an isolated house near a lake. Alexi, the brother, is a young man with pure heart. A woodcutter. An ecstatic, prey to epileptic fits, he is entirely opened to the nature that surrounds him. Alexi is terribly close to his younger sister, Hege. Their blind mother, their father and their little brother are the silent witnesses to their overwhelming love. A stranger arrives, a young man barely older that Alexi... —Anonymous"
Detention, Detention (2011) ,5.7,15K,"This comedy/horror movie centers about a group of teens who go to Grizzly Lake High School. When one of their classmates is killed by someone dressed up as 'Cinderhella' (a character from a popular horror movie), they all fall under suspicion, but when they all get detention, they try to work out who it is. —Michael Hallows Eve"
A Vingança de Uma Mulher," A Woman's Revenge (2012) aka ""A Vingança de Uma Mulher"" ",6.1,314,"Roberto is a dandy!An unmoved, inscrutable and thus enigmatic man. He enjoys the aristocratic amusement of astonishment.Women, whom he knows full well in all sorts of styles and races, can no longer surprise him.The truth is that Roberto feels the intimate tedium of those who have exhausted all the delights and pleasures of this life.Yet... One evening,he is intrigued by a woman who reminds him of someone.That night, of descent into heaven and rising to hell, this woman discloses the peculiarity of the life that has become hers.And amidst the terrible overwhelming, Roberto witnesses the sublime horror into which that woman has dropped.He leaves closed within himself,unsettled by the glimpse of a certain love that,after all,he never has lived."
Before the Devil Knows You're Dead, Before the Devil Knows You're Dead (2007) ,7.3,101K,"Needing extra cash, two brothers conspire to pull off the perfect, victimless crime. No guns, no violence, no problem. But when an accomplice ignores the rules and crosses the line, his actions trigger a series of events in which no one is left unscathed. —Carol Green"
Match Point, Match Point (2005) ,7.6,213K,"From a humble background and with traditional values, Irish Chris Wilton (Jonathan Rhys Meyers) is still struggling financially despite being a recently retired high ranked tennis pro. He has taken a job as a tennis instructor at an upscale London tennis club, although he knows there is a better life for him somewhere down the road. He is befriended by one of his students, wealthy Tom Hewett (Matthew Goode). Chris starts to date Tom's sister, Chloe Hewett (Emily Mortimer), a girl-next-door type who is immediately attracted to Chris. Chloe quickly knows she wants to marry Chris, and through her businessman father, Alec Hewett (Brian Cox), tries to help Chris and their future by getting him an executive job in Alec's company. In his life with the Hewetts, Chris begins to enjoy the finer things in life. Through it all however, Chris cannot help thinking about Nola Rice (Scarlett Johansson), a struggling American actress who he meets at the Hewett estate and who is Tom's unofficial fiancée. Nola is vivacious, and she knows the effect she has on men, including Chris. Unlike Chris, Nola is not accepted by Tom and Chloe's mother, the outspoken Eleanor Hewett (Dame Penelope Wilton). Chris has to decide if he can give up what he has been able to achieve with Chloe and the Hewetts, or if the passion he feels for Nola is stronger than the finer things in life to which he is now accustomed. He may go to any length to have his cake and eat it too. —Huggo"
You Ain’t Seen Nothin’ Yet, Vous n'avez encore rien vu (2012) ,6.3,1.5K,"From beyond the grave, celebrated playwright Antoine d'Anthac gathers together all his friends who have appeared over the years in his play ""Eurydice."" These actors watch a recording of the work performed by a young acting company, La Compagnie de la Colombe. Do love, life, death and love after death still have any place on a theater stage? It's up to them to decide. And the surprises have only just begun... —lletaif"
No Home Movie, No Home Movie (2015) ,6.6,912,"Chantal Akerman films her mother, an old woman of Polish origin who is short lifetime, in her apartment in Brussels. For two hours, we will see them eating, chatting and sharing memories, sometimes accompanied by Sylvaine, Chantal's sister. Also, and to show how small the world has become, Chantal remains in contact with her mother at other times of the year via Skype from lands as far away from Belgium as Oklahoma or New York. —jsanchez"
The Romance of Astrea and Celadon, The Romance of Astrea and Celadon (2007) ,6.4,1.6K,"In an enchanted forest, back in the time of the Druids, the shepherd Céladon and the shepherdess Astrée share a pure and chaste love. Fooled by a suitor, Astrée dismisses Céladon, who throws himself into a river out of despair. She thinks he's dead, but he's been secretly rescued by some nymphs. Faithful to the promise he made to Astrée to never appear before her again, Céladon must overcome many obstacles to break the curse. Mad with love and despair, coveted by the nymphs, surrounded by rivals, and obliged to disguise himself as a woman to be near the one he loves, will he manage to make himself known without breaking his oath? A romance filled with doubt, hazards, and delicious temptations. —Anonymous"
The Strange Case of Angelica, The Strange Case of Angelica (2010) ,6.3,1.9K,"A magical tale about a young photographer who falls madly in love with a woman he can never have, except in his dreams. Late one night, Isaac is summoned by a wealthy family to take the last photograph of a young bride, Angelica, who mysteriously passed away. Arriving at their estate, Isaac is struck by Angelica's beauty, but when he looks through his lens, something strange happens - the young woman appears to come to life. From that moment, Isaac will be haunted by Angelica day and night. —AnonymousB"
Michelangelo Eye to Eye, Michelangelo Eye to Eye (2004) (Short) ,6.8,428,Michelangelo Eye to Eye is a meditation on mortality which observes the director Michelangelo Antonioni contemplating Michelangelo's statues in St Peter's.
Warming by the Devil's Fire, Warming by the Devil's Fire (2003) (TV Episode)  - Season 1 | Episode 4  - The Blues (2003) (TV Mini Series)  ,7.0,173,"On 1950's Mississippi, a young boy navigates inter-generational tensions in his family, torn between the heavenly strains of gospel and the devilish lure of the blues."
You Will Meet a Tall Dark Stranger, You Will Meet a Tall Dark Stranger (2010) ,6.3,45K,"Follows a pair of married couples, Alfie (Sir Anthony Hopkins) and Helena (Gemma Jones), and their daughter Sally (Naomi Watts) and husband Roy (Josh Brolin), as their passions, ambitions, and anxieties lead them into trouble and out of their minds. After Alfie leaves Helena to pursue his lost youth and a free-spirited call girl named Charmaine (Lucy Punch), Helena abandons rationality and surrenders her life to the loopy advice of a charlatan fortune teller. Unhappy in her marriage, Sally develops a crush on her handsome art gallery owner boss, Greg (Antonio Banderas), while Roy, an author nervously awaiting the response to his latest manuscript, becomes moonstruck over Dia (Freida Pinto), a mystery woman who catches his gaze through a nearby window. —Sony Pictures Classics"
The Hateful Eight, The Hateful Eight (2015) ,7.8,560K,"Some time after the Civil War, a stagecoach hurtles through the wintry Wyoming landscape. Bounty hunter John Ruth and his fugitive captive Daisy Domergue race towards the town of Red Rock, where Ruth will bring Daisy to justice. Along the road, they encounter Major Marquis Warren (an infamous bounty hunter) and Chris Mannix (a man who claims to be Red Rock's new sheriff). Lost in a blizzard, the bunch seeks refuge at Minnie's Haberdashery. When they arrive they are greeted by unfamiliar faces: Bob, who claims to be taking care of the place while Minnie is gone; Oswaldo Mobray, the hangman of Red Rock; Joe Gage, a cow puncher; and confederate general Sanford Smithers. As the storm overtakes the mountainside, the eight travelers come to learn that they might not make it to Red Rock after all... —Jordan Crighton"
Hedwig and the Angry Inch, Hedwig and the Angry Inch (2001) ,7.7,35K,"Hedwig, born male as Hansel in East Berlin, fell in love with an American G.I. and underwent a Gender Reassignment Surgery in order to marry him and flee to the West. Unfortunately, nothing worked out quite as it was supposed to - years later, Hedwig is leading her rock band on a tour of the U.S., telling her life story through a series of concerts at Bilgewater Inn seafood restaurants. Her tour dates coincide with those of arena-rock star Tommy Gnosis, a wide-eyed boy who once loved Hedwig - but then left with all her songs."
Battle Royale, Battle Royale (2000) ,7.6,178K,"Forty-two students, three days, one deserted Island: welcome to Battle Royale. A group of ninth-grade students from a Japanese high school have been forced by legislation to compete in a Battle Royale. The students are sent off to kill each other in a no-holds-barred game to the death, until one survives -- or they all die. Some decide to play the game like the psychotic Kiriyama or the sexual Mitsuko, while others are trying to find a way to get off the Island without violence. However, as the numbers dwindle is there any way for Shuya and his classmates to survive? —Prissy Panda Princess"
Bad Lieutenant: Port of Call New Orleans," The Bad Lieutenant: Port of Call - New Orleans (2009) aka ""Bad Lieutenant: Port of Call New Orleans"" ",6.6,76K,"After Katrina, police sergeant Terence McDonagh rescues a prisoner, hurts his back in the process and earns a promotion to lieutenant plus an addiction to cocaine and painkillers. Six months later, a family is murdered over drugs; Terence runs the investigation. His drug-using prostitute girlfriend, his alcoholic father's dog, run-ins with two old women and a well-connected john, gambling losses, a nervous young witness, and thefts of police property put Terence's job and then his life in danger. He starts seeing things. He wants a big score to get out from under mounting debts, so he joins forces with drug dealers. The murders remain unsolved. A bad lieutenant gets worse. —<jhailey@hotmail.com>"
Night Will Fall, Night Will Fall (2014) ,8.0,3.2K,"April 1945. In Germany, as World War II was drawing to a close and the Allied Forces were swarming into Berlin, groups of freshly trained combat cameramen documented the gruesome scenes behind the recently liberated Nazi concentration camps. Named ""German Concentration Camps Factual Survey"", the 1945 documentary for the British government was produced by Sidney Bernstein, with Alfred Hitchcock's participation. For nearly seven decades, the film was shelved in the British archives and was abandoned without a public screening--for either political reasons or shifted Government priorities--to be ultimately completed by a team of historians and film scholars of the British Imperial War Museum, who meticulously restored the original footage. Intertwined with interviews of both survivors and liberators, as well as short newsreel films and raw footage from the original film, the 2014 documentary chronicles the atrocities that occurred in the concentration and labour camps of Bergen-Belsen, Auschwitz, Majdanek, Dachau, and Buchenwald, also including footage from Soviet cameramen. Without shying away, the camera pans on the German SS officers, lingering on the bony, emaciated faces of the piled-up-like-dolls bodies of men and women who were mercilessly thrown into pits during the mass-grave digging operations. However--even though the film documents a world of nightmare, exposing the undeniable truth of what has been going on within these camps--it also focuses on the healing process of the completely dehumanised survivors, in an attempt not only to serve as a testimony of the Nazi crimes, but also as an important lesson for all mankind. —Nick Riganas"
The Lobster, The Lobster (2015) ,7.2,239K,"A love story set in a dystopian near future where single people are arrested and transferred to a creepy hotel. There they are obliged to find a matching mate in 45 days. If they fail, they are transformed into an animal and released into the woods. —R. Byma"
Best in Show, Best in Show (2000) ,7.5,60K,"At the prestigious Mayflower Dog Show, a ""documentary film crew"" captures the excitement and tension displayed by the eccentric participants in the outrageously hilarious satire Best In Show. This biting send-up exposes the wondrously diverse dog owners who travel from all over America to showcase their four-legged contenders. Mild-mannered salesman Gerry Fleck (Eugene Levy) and his vivacious wife, Cookie (Catherine O'Hara), happily prepare their Norwich Terrier, while shop owner Harlan Pepper (Christopher Guest) hopes his Bloodhound wins top prize. As two upwardly mobile attorneys (Parker Posey and Michael Hitchcock) anxiously ready their neurotic Weimaraner and an ecstatically happy gay couple (Michael McKean and John Michael Higgins) dote on their tiny Shih Tzu, inept commentator Buck Laughlin (Fred Willard) vainly attempts to provide colorful tidbits about each breed."
About Elly," Darbareye Elly (2009) aka ""About Elly"" ",8.0,51K,"A group of former classmates of a University with their families plans to go for a picnic to the Caspian seashore where Sepideh, the organizer of the trip, invites Elly who is the Kindergarten teacher of her child to meet her other friend, Ahmad, returned from Germany. Elly hesitates to accept the invitation but later says ok. During the picnic a boy and Elly go missing. —ramu-98420"
I’m Going Home, I'm Going Home (2001) ,6.9,1.8K,"The comfortable daily routines of aging Parisian actor Gilbert Valence, 76, are suddenly shaken when he learns that his wife, daughter, and son-in-law have been killed in a car crash. Having to take care of his now-orphaned grandson, he struggles to go on with his lifelong acting career like he's used to. But the roles he is offered -- a flashy TV show and a hectic last-minute replacement in an English-language film of Joyce's Ulysses -- finally convince him that it's time to retire. —Markku Kuoppamäki"
Good Bye Lenin!, Good Bye Lenin! (2003) ,7.7,143K,"East Germany, the year 1989: A young man protests against the regime. His mother watches the police arresting him and suffers a heart attack and falls into a coma. Some months later, the DDR does not exist anymore and the mother awakes. Since she has to avoid every excitement, the son tries to set up the DDR again for her in their flat. But the world has changed a lot. —Benjamin Stello"
The Baader Meinhof Complex, The Baader Meinhof Complex (2008) ,7.4,37K,"Germany in the 1970s: Murderous bomb attacks, the threat of terrorism and the fear of the enemy inside are rocking the very foundations of the yet fragile German democracy. The radicalised children of the Nazi generation lead by Andreas Baader, Ulrike Meinhof and Gudrun Ensslin are fighting a violent war against what they perceive as the new face of fascism: American imperialism supported by the German establishment, many of whom have a Nazi past. Their aim is to create a more human society but by employing inhuman means they not only spread terror and bloodshed, they also lose their own humanity. The man who understands them is also their hunter: the head of the German police force Horst Herold. And while he succeeds in his relentless pursuit of the young terrorists, he knows he's only dealing with the tip of the iceberg. —Constantin Film"
Django Unchained, Django Unchained (2012) ,8.4,1.4M,"In 1858, a bounty-hunter named King Schultz seeks out a slave named Django and buys him because he needs him to find some men he is looking for. After finding them, Django wants to find his wife, Broomhilda, who along with him were sold separately by his former owner for trying to escape. Schultz offers to help him if he chooses to stay with him and be his partner. Eventually they learn that she was sold to a plantation in Mississippi. Knowing they can't just go in and say they want her, they come up with a plan so that the owner will welcome them into his home and they can find a way. —rcs0411@yahoo.com"
Alpha Dog, Alpha Dog (2006) ,6.9,102K,"1999, Claremont, California. Middle-class kids, in their 20s, talk trash, wave guns, hang out in a pack. Johnny Truelove, drug dealer and son of a underworld figure, threatens Jake Mazursky, an explosive head case who owes Johnny money; Jake responds by breaking into Johnny's house. On impulse, Johnny and a couple pals kidnap Jake's 15-year-old brother, Zach. Zach's okay with it, figuring his brother will pay the debt soon. Johnny assigns his buddy Frankie to be Zach's minder, and they develop a brotherly friendship. Zach parties with his captors as things begin to spin out of control. Group think, amorality, and fear of prison assert a hold on the pack. Is Zach in danger? —<jhailey@hotmail.com>"
Young Adult, Young Adult (2011) ,6.3,83K,"Thirty-seven year old Mavis Gary seems incapable of happiness. She has had one failed marriage with no romance in her immediate horizon. She ghosts writes a young adult series of books, which has just been canceled due to low sales. She is in the process of writing the last book, with which she is having a mental block. She lives vicariously through Kendall Strickland, the teenaged female heroine in her books, as like Kendall she believes her high school years were the best years of her life when she was the prom queen. When she receives news that her high school beau, Buddy Slade, and his wife, Beth Slade, have just had their first child, Mavis takes it as a sign that she and Buddy are meant to be together. As such, she devises a false pretense to travel from her Minneapolis home back her her old hometown of Mercury, Minnesota to reclaim Buddy from Beth. As Mavis slyly or not so slyly does whatever she can to hang out with Buddy, even in Beth's company if need be, she also runs into another old high school colleague named Matt Freehauf. She barely remembers Matt until she is reminded that he was the ""hate crime"" kid i.e. he was beaten almost to death by the school jocks who believed he was gay (which he is not), which has left him among other things needing to walk with a brace. Matt ends up being Mavis' drinking buddy and confidante, Matt, in turn, who tries to be Mavis' voice of reason to get her out of her delusional state about Buddy and get a grip on reclaiming her life as a functioning adult. —Huggo"
Tropic Thunder, Tropic Thunder (2008) ,7.0,398K,"Action movie star Tugg Speedman is on the downslide of his professional career. He wants to be considered a serious actor, but his latest serious role as the title character in ""Simple Jack"" resulted in negative reviews and ridicule. Comedian Jeff Portnoy is best known for his leading roles in sophomoric comedies, and may be less well known for his rampant drug use. Five time Oscar winner Kirk Lazarus is a serious method actor, who immerses himself in whatever the role. On location in southeast Vietnam, they are the stars of ""Tropic Thunder"", based on Vietnam war veteran 'Four Leaf' Tayback's memoirs of his rescue during the war, that rescue which was considered a near suicide mission for the assigned army force and resulted in him losing both hands. For his role, Caucasian Australian Lazarus even went through a controversial surgical skin dying procedure so that he could convincingly play a black man. Production is not going well since rookie director Damien Cockburn is unable to control the prima-donna attitude of his three stars. Cockburn and Tayback decide that the five primary actors - Speedman, Portnoy, Lazarus, rapper Alpa Chino, and newcomer Kevin Sandusky - need to work together as a unit as did their real life characters. The five are placed in the middle of the jungle, and with only a map and their prop machine guns in hand, are asked to work together to battle through the stunt pyrotechnics in their way. What none of the seven of them know is that they have been dropped into a real life drug war led by the Flaming Dragons. It isn't until Speedman is captured by the Flaming Dragons and tortured that they all realize that what they believed was make believe gunfire and land mines was actually real life. As the four actors try to figure out what to do concerning Speedman's situation, all five go through their own journey of self-discovery. Meanwhile, the movie's megalomaniacal profanity spewing producer Les Grossman and Speedman's faithful agent Rick Peck argue about what to do about Speedman's situation. And Tayback inadvertently shows a little of his true self. —Huggo"
Dirty Pretty Things, Dirty Pretty Things (2002) ,7.3,42K,"Okwe is an irregular Nigerian immigrant leading a hard life and struggling to survive in London's underground. He works as a hotel receptionist in the night time and as he has a doctor degree he practices some medicine, during the day, in a very odd way. Besides that he must constantly escape from Immigration officers. One day Okwe discovers by chance an illegal scheme of surgeries is being lead by Juan, his boss in the hotel. Juan quickly comes up with a tempting proposal: if Okwe accepts to perform the illegal surgeries he makes a lot of money and gets legalized situation in the U.K. Can Okwe keep his moral values intact? —Weslley Gonçalves"
The Imposter," Soul Man (1986) aka ""The Imposter"" ",5.3,8.1K,"Sadly, all good things must come to an end, and now, the party is over for the carefree, pampered, and very white California kid, Mark Watson. As a result, with his self-made millionaire father refusing to pay the tuition to attend the prestigious Harvard Law School, Mark's only hope rests on a full scholarship intended for an African-American applicant, and a bunch of tanning pills. Now, with his curly perm and the dark complexion, Mark can fraudulently make his dream come true; however, has Mark ever considered the ramifications, moral and legal, of his deception? —Nick Riganas"
A Girl Walks Home Alone at Night, A Girl Walks Home Alone at Night (2014) ,7.0,34K,"An Iranian Vampire Western, shot in black&white and with a killer soundtrack... it's a love story about two tortured souls in a desolate Iranian Ghost-town called 'Bad City', where a lonely vampire is stalking the towns most depraved denizens. —Anonymous"
